[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 draw 3 6.2s
    [en] fold 2 draw 4 6.2s
    [en] fold 2 draw 5 6.3s
    [en] fold 2 draw 6 6.2s
    [en] fold 2 draw 7 6.4s
    [en] fold 2 draw 8 6.4s
    [en] fold 2 draw 9 6.3s
    [en] fold 2 draw 10 6.2s
    [en] fold 2 draw 11 6.2s
    [en] fold 2 draw 12 6.2s
    [en] fold 2 draw 13 6.1s
    [en] fold 2 draw 14 6.4s
    [en] fold 2 draw 15 6.4s
    [en] fold 2 draw 16 6.4s
    [en] fold 2 draw 17 6.4s
    [en] fold 2 draw 18 6.5s
    [en] fold 2 draw 19 6.2s
    [en] fold 2 draw 20 6.3s
    [en] fold 2 draw 21 6.3s
    [en] fold 2 draw 22 6.5s
    [en] fold 2 draw 23 6.4s
    [en] fold 2 draw 24 6.1s
    [en] fold 2 draw 25 6.2s
    [en] fold 2 draw 26 6.3s
    [en] fold 2 draw 27 6.3s
    [en] fold 2 draw 28 6.4s
    [en] fold 2 draw 29 6.6s
    [en] fold 2 draw 30 6.6s
    [en] fold 2 draw 31 6.6s
    [en] fold 2 draw 32 6.5s
    [en] fold 2 draw 33 6.6s
    [en] fold 2 draw 34 6.5s
    [en] fold 2 draw 35 6.5s
    [en] fold 2 draw 36 6.4s
    [en] fold 2 draw 37 6.5s
    [en] fold 2 draw 38 6.2s
    [en] fold 2 draw 39 6.2s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.0s (arena=False draws=160)
    [en] fold 2 draw 40 7.7s
    [en] fold 2 draw 41 6.4s
    [en] fold 2 draw 42 6.2s
    [en] fold 2 draw 43 6.1s
    [en] fold 2 draw 44 6.2s
    [en] fold 2 draw 45 6.0s
    [en] fold 2 draw 46 6.1s
    [en] fold 2 draw 47 6.2s
    [en] fold 2 draw 48 6.1s
    [en] fold 2 draw 49 6.0s
    [en] fold 2 draw 50 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.2s (arena=False draws=149)
    [en] fold 2 draw 51 7.1s
    [en] fold 2 draw 52 6.6s
    [en] fold 2 draw 53 6.5s
    [en] fold 2 draw 54 6.2s
    [en] fold 2 draw 55 6.4s
    [en] fold 2 draw 56 6.5s
    [en] fold 2 draw 57 6.2s
    [en] fold 2 draw 58 6.1s
    [en] fold 2 draw 59 6.0s
    [en] fold 2 draw 60 6.1s
    [en] fold 2 draw 61 6.2s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.1s (arena=False draws=138)
    [en] fold 2 draw 62 7.9s
    [en] fold 2 draw 63 6.2s
    [en] fold 2 draw 64 6.4s
    [en] fold 2 draw 65 6.2s
    [en] fold 2 draw 66 6.2s
    [en] fold 2 draw 67 6.4s
    [en] fold 2 draw 68 6.3s
    [en] fold 2 draw 69 6.2s
    [en] fold 2 draw 70 6.3s
    [en] fold 2 draw 71 6.1s
    [en] fold 2 draw 72 6.2s
    [en] fold 2 draw 73 6.5s
    [en] fold 2 draw 74 6.1s
    [en] fold 2 draw 75 6.4s
    [en] fold 2 draw 76 6.2s
    [en] fold 2 draw 77 6.1s
    [en] fold 2 draw 78 6.1s
    [en] fold 2 draw 79 6.1s
    [en] fold 2 draw 80 6.2s
    [en] fold 2 draw 81 6.0s
    [en] fold 2 draw 82 6.1s
    [en] fold 2 draw 83 6.0s
    [en] fold 2 draw 84 6.0s
    [en] fold 2 draw 85 6.8s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.0s (arena=False draws=114)
    [en] fold 2 draw 86 7.1s
    [en] fold 2 draw 87 6.1s
    [en] fold 2 draw 88 6.1s
    [en] fold 2 draw 89 6.1s
    [en] fold 2 draw 90 6.1s
    [en] fold 2 draw 91 6.1s
    [en] fold 2 draw 92 6.0s
    [en] fold 2 draw 93 6.1s
    [en] fold 2 draw 94 6.0s
    [en] fold 2 draw 95 6.0s
    [en] fold 2 draw 96 6.1s
    [en] fold 2 draw 97 6.1s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.1s (arena=False draws=102)
    [en] fold 2 draw 98 7.1s
    [en] fold 2 draw 99 6.2s
    [en] fold 2 draw 100 6.1s
    [en] fold 2 draw 101 6.3s
    [en] fold 2 draw 102 6.4s
    [en] fold 2 draw 103 6.5s
    [en] fold 2 draw 104 6.5s
    [en] fold 2 draw 105 6.5s
    [en] fold 2 draw 106 6.4s
    [en] fold 2 draw 107 6.6s
    [en] fold 2 draw 108 6.5s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.1s (arena=False draws=91)
    [en] fold 2 draw 109 7.5s
    [en] fold 2 draw 110 6.3s
    [en] fold 2 draw 111 6.1s
    [en] fold 2 draw 112 6.4s
    [en] fold 2 draw 113 6.4s
    [en] fold 2 draw 114 6.4s
    [en] fold 2 draw 115 6.1s
    [en] fold 2 draw 116 6.2s
    [en] fold 2 draw 117 6.1s
    [en] fold 2 draw 118 6.0s
    [en] fold 2 draw 119 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.1s (arena=False draws=80)
    [en] fold 2 draw 120 7.2s
    [en] fold 2 draw 121 6.1s
    [en] fold 2 draw 122 6.2s
    [en] fold 2 draw 123 6.1s
    [en] fold 2 draw 124 6.3s
    [en] fold 2 draw 125 6.3s
    [en] fold 2 draw 126 6.4s
    [en] fold 2 draw 127 6.2s
    [en] fold 2 draw 128 6.1s
    [en] fold 2 draw 129 6.1s
    [en] fold 2 draw 130 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.0s (arena=False draws=69)
    [en] fold 2 draw 131 7.4s
    [en] fold 2 draw 132 6.1s
    [en] fold 2 draw 133 6.1s
    [en] fold 2 draw 134 6.4s
    [en] fold 2 draw 135 6.4s
    [en] fold 2 draw 136 6.4s
    [en] fold 2 draw 137 6.3s
    [en] fold 2 draw 138 6.3s
    [en] fold 2 draw 139 6.2s
    [en] fold 2 draw 140 6.1s
    [en] fold 2 draw 141 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.0s (arena=False draws=58)
    [en] fold 2 draw 142 7.2s
    [en] fold 2 draw 143 6.1s
    [en] fold 2 draw 144 6.2s
    [en] fold 2 draw 145 6.1s
    [en] fold 2 draw 146 6.3s
    [en] fold 2 draw 147 6.4s
    [en] fold 2 draw 148 6.4s
    [en] fold 2 draw 149 6.3s
    [en] fold 2 draw 150 6.0s
    [en] fold 2 draw 151 6.1s
    [en] fold 2 draw 152 6.1s
    [en] fold 2 draw 153 6.2s
    [en] fold 2 draw 154 6.2s
    [en] fold 2 draw 155 6.3s
    [en] fold 2 draw 156 6.1s
    [en] fold 2 draw 157 6.1s
    [en] fold 2 draw 158 6.2s
    [en] fold 2 draw 159 6.2s
    [en] fold 2 draw 160 6.3s
    [en] fold 2 draw 161 6.3s
    [en] fold 2 draw 162 6.0s
